day_of_week,n,lift_pct,ci_low,ci_high,placebo_mean,p_value,placebo_pool,pool_ratio,baseline_attendance,fans_gained
Tuesday,33,21.9193446327707,9.289566670322436,36.00865158998494,0.33719343749311875,0.0,129,3.909090909090909,4641.313815823001,1017.345570778644
Wednesday,59,0.3278309423671688,-6.1388416574355675,7.240032398317364,2.365193425910564,0.552,134,2.2711864406779663,5186.641408934012,17.003415408114176
Thursday,36,2.027366791787144,-4.949478853410483,9.516322992189874,-1.4204399419714264,0.378,131,3.638888888888889,6267.240701950213,127.05995675270613
Friday,121,6.0263495210150175,-0.1045309433171937,12.533500256890795,-1.6254981500928252,0.0,138,1.140495867768595,6095.879250791324,367.3589900317168
Saturday,246,14.696678705223487,10.914995072905654,18.607300098261035,,,138,0.5609756097560976,5903.702661033167,867.6482118037737
Sunday,80,3.701200157163198,-2.802653121438392,10.640251605550489,1.243054263346895,0.176,135,1.6875,6786.752708700746,251.1913019207096
